,Time,Experience,Role,Industry,Size,Company,Salary,Remote,Locations,Tags,Min_Salary,Max_Salary,Currency,Min_Annual_Eur_Salary,Max_Annual_Eur_Salary,Additional
1,Full-time,"Mid-Level, Senior",DevOps,"Digital Health, Health Care, Healthcare",201–500 people,VC Funded,$130k - 150k (US Dollars),None,"Denver,CO","['python', 'google-cloud-platform', 'postgresql', 'docker', 'kubernetes']",130000.0,150000.0,$,120370.37037037036,138888.88888888888,
2,Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['reactjs', 'ios', 'swift']",0.0,0.0,,,,
4,Full-time,None,"Backend Developer, Mobile Developer",None,None,None,None,None,"Mumbai,India","['android', 'java', 'rest']",0.0,0.0,,,,
8,Full-time,None,Full Stack Developer,None,None,None,None,None,"Pune,India","['java', 'reactjs', 'tdd']",0.0,0.0,,,,
11,Full-time,"Junior, Mid-Level",Full Stack Developer,"Accounting Software, Agile Software Development, Cloud-Based Solutions",10k+ people,Public,None,None,"Lawrenceville,GA","['c#', 'api', 'asp.net']",0.0,0.0,,,,
12,Full-time,"Senior, Lead, Manager","Backend Developer, Database Administrator","B2B, Manufacturing, SaaS",11–50 people,Private,None,None,"Chennai,India","['erp', 'edi', 'rest', 'rpa', 'etl']",0.0,0.0,,,,
14,Full-time,None,DevOps,None,None,None,None,None,"Hyderabad,India","['devops', 'cloud']",0.0,0.0,,,,
16,Full-time,Senior,Full Stack Developer,None,None,None,None,None,"Baden,Switzerland","['c#', '.net', 'reactjs', 'docker', 'javascript']",0.0,0.0,,,,
18,Full-time,None,Designer,None,None,None,None,None,"Ahmedabad,India","['wordpress', 'php', 'user-interface']",0.0,0.0,,,,
21,Full-time,None,QA/Test Developer,None,None,None,None,None,"Surat,India","['php', 'testing']",0.0,0.0,,,,
23,Full-time,None,QA/Test Developer,"Coupons & Discounts, E-Commerce",51–200 people,Private,None,None,"LasVegas,NV","['qa', 'testing', 'selenium', 'phpunit', 'behat']",0.0,0.0,,,,
25,Full-time,None,Database Administrator,None,None,None,None,None,"Kobe,Japan","['c#', 'java', 'oracle']",0.0,0.0,,,,
26,Full-time,None,QA/Test Developer,None,None,None,None,None,"Hyderabad,India","['automation', 'testing', 'python']",0.0,0.0,,,,
28,Full-time,"Mid-Level, Senior, Lead",Mobile Developer,"Communications, Enterprise Software, SaaS",1–10 people,VC Funded,$90k - 130k (US Dollars),On-siteandlimitedremote,"LosAngeles,CA",[],90000.0,130000.0,$,83333.33333333333,120370.37037037036,
