"F","Company Name","Seniority Level","Company Location","Industry","Employment Type","Job Functions","position"
"Fortinet Specialist","Apex Systems","Associate","Krakowski, Małopolskie, Poland","Information Technology & Services","Contract","Information Technology Engineering","None",
"Fortinet Specialist","GP Strategies Ltd","Associate","Krakow Metropolitan Area","Professional Training & Coaching E-learning Pharmaceuticals","Full-time","Training Customer Service Administrative","Lead Learning Administrator",
"Fortinet Specialist","VSoft","Mid-Senior level","Cracow, Lesser Poland District, Poland","Computer Software Information Technology & Services","Full-time","Information Technology","Lead .NET Engineer",
"Fortinet Specialist","Philip Morris International","Mid-Senior level","Kraków, PL","Consumer Goods Tobacco","Full-time","Production","Automatyk utrzymania ruchu",
"Fortinet Specialist","CONTROL PROCESS S.A.","Mid-Senior level","Tarnów, PL","Electrical & Electronic Manufacturing","Full-time","Other","Automatyk / Pomiarowiec",
"Fortinet Specialist","IG","Internship","Krakow Metropolitan Area","Financial Services","Full-time","Information Technology"," IT- Internship Programme",
"Fortinet Specialist","GlobalLogic Poland","Mid-Senior level","Krakow Metropolitan Area","Computer Software Information Technology & Services","Full-time","Information Technology Engineering Management","Resourcing Manager",
"Fortinet Specialist","iXceed Solutions","Mid-Senior level","Krakow Metropolitan Area","Staffing & Recruiting","Full-time","Engineering Information Technology","User Experience tester",
"Fortinet Specialist","iXceed Solutions","Mid-Senior level","Krakow Metropolitan Area","Staffing & Recruiting","Full-time","Engineering Information Technology","User Experience tester",
"Fortinet Specialist","Collabera Poland","Mid-Senior level","Krakow Metropolitan Area","Investment Banking","Contract","Information Technology","Data Analyst (Tableau)",
"Fortinet Specialist","Collabera Poland","Mid-Senior level","Krakow Metropolitan Area","Investment Banking","Contract","Information Technology","Data Analyst (Tableau)",
"Fortinet Specialist","Monika Corporation","Mid-Senior level","Bochnia, PL","Machinery Human Resources Management Consulting","Full-time","Other","Zatrudnię kelnerkę",
"Fortinet Specialist","Monika Corporation","Mid-Senior level","Bochnia, PL","Machinery Human Resources Management Consulting","Full-time","Other","Zatrudnię kelnerkę",
"Fortinet Specialist","SoftServe","Director","Krakow Metropolitan Area","Information Technology & Services","Full-time","Business Development Management Information Technology","Associate Vice President of Client Success",
"Fortinet Specialist","SoftServe","Director","Krakow Metropolitan Area","Information Technology & Services","Full-time","Business Development Management Information Technology","Associate Vice President of Client Success",
"Fortinet Specialist","Discovery Inc","Mid-Senior level","Krakowski, Małopolskie, Poland","Entertainment","Full-time","Information Technology","Network Operations Engineer",
"Fortinet Specialist","Discovery Inc","Mid-Senior level","Krakowski, Małopolskie, Poland","Entertainment","Full-time","Information Technology","Network Operations Engineer",
"Fortinet Specialist","Luxoft","Entry level","Krakow Metropolitan Area","Information Technology & Services Human Resources Staffing & Recruiting","Full-time","Information Technology Administrative Human Resources","Training Administrator",
"Fortinet Specialist","Luxoft","Entry level","Krakow Metropolitan Area","Information Technology & Services Human Resources Staffing & Recruiting","Full-time","Information Technology Administrative Human Resources","Training Administrator",
"Fortinet Specialist","VELVET CARE LIMITED","Entry level","Klucze, PL","Consumer Goods","Full-time","Other","Aplikuj poza ofertami pracy",
"Fortinet Specialist","VELVET CARE LIMITED","Entry level","Klucze, PL","Consumer Goods","Full-time","Other","Aplikuj poza ofertami pracy",
"Fortinet Specialist","Polimerc","Entry level","Dobczyce, PL","Consumer Goods","Full-time","Other","Diagnosta",
"Fortinet Specialist","Polimerc","Entry level","Dobczyce, PL","Consumer Goods","Full-time","Other","Diagnosta",
"Fortinet Specialist","Beekeeper","Mid-Senior level","Krakowski, Małopolskie, Poland","Information Technology & Services","Full-time","Information Technology Engineering","2nd Level Support",
"Fortinet Specialist","Beekeeper","Mid-Senior level","Krakowski, Małopolskie, Poland","Information Technology & Services","Full-time","Information Technology Engineering","2nd Level Support",
"Fortinet Specialist","EPAM Systems","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Full-time","Engineering Information Technology","System Engineer",
"Fortinet Specialist","Wipro Limited","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services Computer Software","Full-time","Information Technology","DevOps Engineer",
"Fortinet Specialist","ALTEN Polska","Entry level","Krakow Metropolitan Area","Information Technology & Services Telecommunications","Full-time","Information Technology","Backend Developer",
"Fortinet Specialist","Powiatowy Urząd Pracy w Świnoujściu","Entry level","Tarnów, PL","Government Administration","Full-time","Sales Business Development","Magazynier (Z)",
"Fortinet Specialist","Gazelle Global","Mid-Senior level","Krakow Metropolitan Area","Information Technology & Services","Contract","Information Technology","Telco Cloud Engineer",
"Fortinet Specialist","Orienta Polska","Mid-Senior level","Krakow Metropolitan Area","Building Materials","Full-time","Other Sales Project Management","| 27351 | Menadżer ds. Inwestycji |",
"Fortinet Specialist","InterKadra Sp. z o.o.","Entry level","Niepołomice, PL","Staffing & Recruiting","Full-time","Sales Business Development","Merchandiser mobilny",
"Fortinet Specialist","BAMET","Entry level","Wierzchowie, PL","Staffing & Recruiting","Full-time","Other","Lider Elektronik Automatyk",
"Fortinet Specialist","BAMET","Entry level","Wierzchowie, PL","Staffing & Recruiting","Full-time","Other","Lider Elektronik Automatyk",
"Fortinet Specialist","Brainly","Associate","Krakow Metropolitan Area","Internet","Full-time","Information Technology","Interaction Designer",
"Fortinet Specialist","Suder Law Firm","Entry level","Modlnica, PL","Automotive Staffing & Recruiting International Trade & Development","Contract","Management Manufacturing","Export Specialist",
"Fortinet Specialist","TOP 100 KANCELARII","Entry level","Tarnów, PL","Marketing & Advertising","Full-time","Other","referendarz",
"Fortinet Specialist","TOP 100 KANCELARII","Entry level","Tarnów, PL","Marketing & Advertising","Full-time","Other","referendarz",
"Fortinet Specialist","Hays","Mid-Senior level","Krakow Metropolitan Area","Machinery Automotive","Full-time","Engineering Manufacturing Purchasing","Lider Globalnych Zakupów Elektronicznych",
"Fortinet Specialist","Hays","Mid-Senior level","Krakow Metropolitan Area","Machinery Automotive","Full-time","Engineering Manufacturing Purchasing","Lider Globalnych Zakupów Elektronicznych",
"Fortinet Specialist","Amway Europe","Mid-Senior level","Kraków i okolice","Consumer Goods","Full-time","Information Technology Engineering","DevOps Engineer",
"Fortinet Specialist","Amway Europe","Mid-Senior level","Kraków i okolice","Consumer Goods","Full-time","Information Technology Engineering","DevOps Engineer",
"Fortinet Specialist","Nicromet Spółka z Ograniczoną Odpowiedzialnością Spółka Komandytowa","Mid-Senior level","Skawina, PL","Mining & Metals","Full-time","Other","Wartownik",
"Fortinet Specialist","Leader School","Mid-Senior level","Skawina, PL","Education Management","Full-time","Other","ogłoszenie",
"Fortinet Specialist","Probet Sp. z o.o.","Entry level","Modlniczka, PL","Security & Investigations","Full-time","Management Manufacturing","Sprzątaczka",
"Fortinet Specialist","Probet Sp. z o.o.","Entry level","Modlniczka, PL","Security & Investigations","Full-time","Management Manufacturing","Sprzątaczka",
"Fortinet Specialist","Grupa Eurocash","Entry level","Modlniczka, PL","Wholesale","Full-time","Sales Business Development","Magazynier",
"Fortinet Specialist","Grupa Eurocash","Entry level","Modlniczka, PL","Wholesale","Full-time","Sales Business Development","Magazynier",
"Fortinet Specialist","HR Wise Sp. z o.o.","Mid-Senior level","Zabierzów, PL","Human Resources","Full-time","Management Manufacturing","Kierownik zmiany",
"Fortinet Specialist","Fabryka Mebli Mikołajczyk Sp.z o.o.","Entry level","Krzywaczka, PL","Human Resources","Full-time","Other","Portier",
"Fortinet Specialist","Herbalife Nutrition","Associate","Krakow Metropolitan Area","Health, Wellness & Fitness","Full-time","Finance Accounting/Auditing","Senior Specialist, Finance and Compliance",
"Fortinet Specialist","Beekeeper","Mid-Senior level","Krakowski, Małopolskie, Poland","Information Technology & Services","Full-time","Engineering","L1 Technical Customer Support",
"Fortinet Specialist","TE Connectivity","Mid-Senior level","Krakow Metropolitan Area","Automotive Electrical & Electronic Manufacturing","Full-time","Accounting/Auditing Finance","Junior Accountant with Italian",
"Fortinet Specialist","Fundacja Aktywizacja","Mid-Senior level","Tarnów, PL","Civic & Social Organization","Full-time","Other","Stanowisko ds. Ekspedycyjno-Rozdzielczych z orzeczeniem",
