"Company Name","Industry","Employment Type","Seniority Level","Company Location","position","Job Functions"
"SANPRO LIMITED","Publishing","Full-time","None","Suwałki, PL","salowa - Suwałki","Other",
"CHANCE - An Association For Children And Youth","Civic & Social Organization","Full-time","Entry level","Lublin, PL","Fizjoterapeuta","Health Care Provider",
"DataFeedWatch","Marketing & Advertising Information Technology & Services Internet","Full-time","Entry level","Kraków, PL","Online Marketeer - multiple positions in Customer Support/ Sales/ Marketing","Marketing Sales",
"HR Contact","Human Resources","Full-time","Entry level","Andrychów, PL","Magister Farmacji","Research Analyst Information Technology",
"Experum HR","Staffing & Recruiting Human Resources Management Consulting","Full-time","Entry level","Wrocław, PL","Grafik","Design Art/Creative Information Technology",
"REConnect Energy","Electrical & Electronic Manufacturing Computer Hardware Consumer Electronics","Full-time","Entry level","Lublin, PL","Inżynier Utrzymania Ruchu","Management Manufacturing",
"Evention Sp. z o.o.","Events Services","Full-time","Associate","Warsaw, PL","Community Manager","Marketing Public Relations Writing/Editing",
"Natalia","Events Services","Full-time","Entry level","Bydgoszcz, PL","Szwaczka / Krawcowa","Other",
"Natalia","Events Services","Full-time","Entry level","Bydgoszcz, PL","Szwaczka / Krawcowa","Other",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa","Information Technology",
"Cyclad","Information Technology & Services Staffing & Recruiting Management Consulting","Full-time","Entry level","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa","Information Technology",
"Facebook","Internet","Full-time","Entry level","Warsaw, PL","Director of Central and Eastern Europe","Other",
"Facebook","Internet","Full-time","Entry level","Warsaw, PL","Director of Central and Eastern Europe","Other",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Warsaw, PL","Junior IT Administrator","Information Technology",
"TeamQuest Sp z o.o.","Information Technology & Services Computer Software Internet","Full-time","Entry level","Warsaw, PL","Junior IT Administrator","Information Technology",
"PharmiWeb.Jobs","Information Technology & Services Environmental Services Staffing & Recruiting","Full-time","Associate","Warsaw, PL","Associate Data Management Leader (Late RIA)","Information Technology",
"PharmiWeb.Jobs","Information Technology & Services Environmental Services Staffing & Recruiting","Full-time","Associate","Warsaw, PL","Associate Data Management Leader (Late RIA)","Information Technology",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Associate","Bydgoszcz, PL","Opiekunka","Other",
"Powiatowy Urząd Pracy w Świnoujściu","Government Administration","Full-time","Associate","Bydgoszcz, PL","Opiekunka","Other",
"HRK S.A.","Information Technology & Services Computer Software Financial Services","Full-time","Associate","Gniezno, PL","Automatyk","Other",
"HRK S.A.","Information Technology & Services Computer Software Financial Services","Full-time","Associate","Gniezno, PL","Automatyk","Other",
"JOBS.PL S.A.","Information Technology & Services Staffing & Recruiting Financial Services","Full-time","Associate","Warsaw, PL","Koordynator/ka Marketingu i Komunikacji (Wrocław, 3350872)","Other",
"MGsolutions Sp. z o.o.","Staffing & Recruiting","Full-time","Associate","Łódź, PL","KOORDYNATOR PRACOWNIKÓW TYMCZASOWYCH (NIEMCY)","Other",
"KOB","Real Estate","Full-time","Associate","Lublin, PL","Zbrojarz","Other",
"Allegro","Marketing & Advertising Management Consulting Financial Services","Contract","Mid-Senior level","Warsaw, PL","Recruitment Consultant (Freelancer)","Human Resources",
"Lingaro","Information Technology & Services Internet Hospital & Health Care","Full-time","Entry level","Warsaw, PL","Junior Sql Engineer @ Lingaro","Information Technology",
"Allegion, PLC","Electrical & Electronic Manufacturing","Full-time","Entry level","Zawiercie, PL","Montaż i pakowanie","Information Technology",
"Fallwork Sp. z.o.o.","Primary/Secondary Education Education Management Staffing & Recruiting","Full-time","Entry level","Toruń, PL","Praca dorywcza od 8-11.03.20","Other",
"Falck Medycyna","Hospital & Health Care","Full-time","Entry level","Strzelce Opolskie, PL","Osoba sprzątająca","Other",
"Bidroom","Marketing & Advertising Computer Software Internet","Full-time","Entry level","Kraków, PL","Data Analyst","Information Technology",
"Eaton","Electrical & Electronic Manufacturing Aviation & Aerospace Automotive","Full-time","Director","Bielsko-Biała, PL","Manager - Transfer Pricing Controversy (EMEA)","Finance Analyst Accounting/Auditing",
"InterKadra Sp. z o.o.","Staffing & Recruiting","Full-time","Entry level","Warsaw, PL","Merchandiser","Sales Business Development",
"Progres S.A.","Information Technology & Services","Full-time","Entry level","Jastrowie, PL","Magazynier / Ekspedycja magazynowa","Sales Business Development",
