"Company Location","Job Functions","Employment Type","Industry","Company Name","position","Seniority Level"
"Suwałki, PL","Other","Full-time","Publishing","SANPRO LIMITED","salowa - Suwałki","None",
"Lublin, PL","Health Care Provider","Full-time","Civic & Social Organization","CHANCE - An Association For Children And Youth","Fizjoterapeuta","Entry level",
"Kraków, PL","Marketing Sales","Full-time","Marketing & Advertising Information Technology & Services Internet","DataFeedWatch","Online Marketeer - multiple positions in Customer Support/ Sales/ Marketing","Entry level",
"Andrychów, PL","Research Analyst Information Technology","Full-time","Human Resources","HR Contact","Magister Farmacji","Entry level",
"Wrocław, PL","Design Art/Creative Information Technology","Full-time","Staffing & Recruiting Human Resources Management Consulting","Experum HR","Grafik","Entry level",
"Lublin, PL","Management Manufacturing","Full-time","Electrical & Electronic Manufacturing Computer Hardware Consumer Electronics","REConnect Energy","Inżynier Utrzymania Ruchu","Entry level",
"Warsaw, PL","Marketing Public Relations Writing/Editing","Full-time","Events Services","Evention Sp. z o.o.","Community Manager","Associate",
"Bydgoszcz, PL","Other","Full-time","Events Services","Natalia","Szwaczka / Krawcowa","Entry level",
"Bydgoszcz, PL","Other","Full-time","Events Services","Natalia","Szwaczka / Krawcowa","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","Administrator ds. Sieci i Bezpieczeństwa","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","Administrator ds. Sieci i Bezpieczeństwa","Entry level",
"Warsaw, PL","Other","Full-time","Internet","Facebook","Director of Central and Eastern Europe","Entry level",
"Warsaw, PL","Other","Full-time","Internet","Facebook","Director of Central and Eastern Europe","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","Junior IT Administrator","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Computer Software Internet","TeamQuest Sp z o.o.","Junior IT Administrator","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Environmental Services Staffing & Recruiting","PharmiWeb.Jobs","Associate Data Management Leader (Late RIA)","Associate",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Environmental Services Staffing & Recruiting","PharmiWeb.Jobs","Associate Data Management Leader (Late RIA)","Associate",
"Bydgoszcz, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Opiekunka","Associate",
"Bydgoszcz, PL","Other","Full-time","Government Administration","Powiatowy Urząd Pracy w Świnoujściu","Opiekunka","Associate",
"Gniezno, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","HRK S.A.","Automatyk","Associate",
"Gniezno, PL","Other","Full-time","Information Technology & Services Computer Software Financial Services","HRK S.A.","Automatyk","Associate",
"Warsaw, PL","Other","Full-time","Information Technology & Services Staffing & Recruiting Financial Services","JOBS.PL S.A.","Koordynator/ka Marketingu i Komunikacji (Wrocław, 3350872)","Associate",
"Łódź, PL","Other","Full-time","Staffing & Recruiting","MGsolutions Sp. z o.o.","KOORDYNATOR PRACOWNIKÓW TYMCZASOWYCH (NIEMCY)","Associate",
"Lublin, PL","Other","Full-time","Real Estate","KOB","Zbrojarz","Associate",
"Warsaw, PL","Human Resources","Contract","Marketing & Advertising Management Consulting Financial Services","Allegro","Recruitment Consultant (Freelancer)","Mid-Senior level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Internet Hospital & Health Care","Lingaro","Junior Sql Engineer @ Lingaro","Entry level",
"Zawiercie, PL","Information Technology","Full-time","Electrical & Electronic Manufacturing","Allegion, PLC","Montaż i pakowanie","Entry level",
"Toruń, PL","Other","Full-time","Primary/Secondary Education Education Management Staffing & Recruiting","Fallwork Sp. z.o.o.","Praca dorywcza od 8-11.03.20","Entry level",
"Strzelce Opolskie, PL","Other","Full-time","Hospital & Health Care","Falck Medycyna","Osoba sprzątająca","Entry level",
"Kraków, PL","Information Technology","Full-time","Marketing & Advertising Computer Software Internet","Bidroom","Data Analyst","Entry level",
"Bielsko-Biała, PL","Finance Analyst Accounting/Auditing","Full-time","Electrical & Electronic Manufacturing Aviation & Aerospace Automotive","Eaton","Manager - Transfer Pricing Controversy (EMEA)","Director",
"Warsaw, PL","Sales Business Development","Full-time","Staffing & Recruiting","InterKadra Sp. z o.o.","Merchandiser","Entry level",
"Jastrowie, PL","Sales Business Development","Full-time","Information Technology & Services","Progres S.A.","Magazynier / Ekspedycja magazynowa","Entry level",
"Jastrowie, PL","Sales Business Development","Full-time","Information Technology & Services","Progres S.A.","Magazynier / Ekspedycja magazynowa","Entry level",
"Wrocław, PL","Quality Assurance","Full-time","Information Technology & Services Mechanical Or Industrial Engineering Financial Services","Pattonair","Quality Technician","Entry level",
"Katowice, PL","Other","Full-time","Information Technology & Services Computer Software Internet","Power Media","CIM Officer / Problem Manager","Entry level",
"Kraków, PL","Information Technology","Full-time","Electrical & Electronic Manufacturing","TRAX elektronik","Administrator IT","Entry level",
"Kraków, PL","Information Technology","Full-time","Electrical & Electronic Manufacturing","TRAX elektronik","Administrator IT","Entry level",
"Wieluń, PL","Other","Full-time","Media Production","The Argus","PRACA W OCHRONIE","Entry level",
"Łódź, PL","Other","Full-time","Financial Services","Capital Service S.A. - loan originator, financial broker","Menadżer Regionu","Entry level",
"Łódź, PL","Other","Full-time","Design Staffing & Recruiting Human Resources","Company Location","Posadzkarz","Entry level",
"Kalisz, PL","Project Management Information Technology","Full-time","Logistics & Supply Chain","InPost","Koordynator Operacji Magazynowych","Entry level",
"Kalisz, PL","Project Management Information Technology","Full-time","Logistics & Supply Chain","InPost","Koordynator Operacji Magazynowych","Entry level",
"Jelcz Laskowice, PL","Sales Business Development","Full-time","Logistics & Supply Chain","GF KOMPOZYTY","Magazynier","Entry level",
"Jelcz Laskowice, PL","Sales Business Development","Full-time","Logistics & Supply Chain","GF KOMPOZYTY","Magazynier","Entry level",
"Lublin, PL","Sales Business Development","Full-time","Staffing & Recruiting","Agencja Zatrudnienia Sidrom Sp. z o.o.","Magazynier - Francja","Entry level",
"Lublin, PL","Sales Business Development","Full-time","Staffing & Recruiting","Agencja Zatrudnienia Sidrom Sp. z o.o.","Magazynier - Francja","Entry level",
"Łódź, PL","Other","Full-time","Marketing & Advertising","PPHU CENTRUM","SZWACZKI ZATRUDNIĘ","Entry level",
"Łódź, PL","Other","Full-time","Marketing & Advertising","PPHU CENTRUM","SZWACZKI ZATRUDNIĘ","Entry level",
"Warsaw, PL","Other","Full-time","Logistics & Supply Chain","Poczta Polska S. A.","Stanowisko ds. Ekspedycyjno-Rozdzielczych","Entry level",
"Trzemeszno Lubuskie, PL","Health Care Provider","Full-time","Hospital & Health Care","BetaMed SA","Pielęgniarka","Associate",
"Warsaw, PL","Project Management Information Technology","Contract","Information Technology & Services Staffing & Recruiting Financial Services","PMSolutions","QA PROJECT MANAGER WARSAW","Associate",
"Gdańsk, PL","Education Training","Full-time","Writing & Editing","GWO","Wychowawca","Entry level",
"Warsaw, PL","Engineering Information Technology","Full-time","Information Technology & Services Computer Software Internet","NBCR Rekrutacja IT Sp. z o.o.","Inżynier cyberbezpieczeństwa","Entry level",
"Modlniczka, PL","Management Manufacturing","Full-time","Security & Investigations","Probet Sp. z o.o.","Sprzątaczka","Entry level",
"Szczecin, PL","Management Manufacturing","Full-time","Consumer Goods","TZMO S.A.","Operator procesu","Entry level",
"Wrocław, PL","General Business Management Business Development","Full-time","Mechanical Or Industrial Engineering Oil & Energy Insurance","Salvor Sp. z o.o. i Wspólnicy Sp. kom.","BIM Model Manager - Wroclaw, PL","Entry level",
"Świętokrzyskie, PL","Other","Full-time","Utilities","Zakład Utylizacyjny Sp. z o.o.","Murarz","Entry level",
"Świętokrzyskie, PL","Other","Full-time","Utilities","Zakład Utylizacyjny Sp. z o.o.","Murarz","Entry level",
"Warsaw, PL","Sales Business Development","Full-time","Wholesale","Alfa Elektro Sp. z o.o.","Magazynier","Entry level",
"Warsaw, PL","Sales Business Development","Full-time","Wholesale","Alfa Elektro Sp. z o.o.","Magazynier","Entry level",
"Zabierzów, PL","Management Manufacturing","Full-time","Human Resources","HR Wise Sp. z o.o.","Kierownik zmiany","Mid-Senior level",
"Łódź, PL","Business Development Sales","Full-time","Marketing & Advertising","TOP 100 KANCELARII","referent","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Human Resources","Cpl Jobs Czech Republic","Identity & Access ManagementEngineer","Entry level",
"Warsaw, PL","Information Technology","Full-time","Information Technology & Services Staffing & Recruiting Human Resources","Cpl Jobs Czech Republic","Identity & Access ManagementEngineer","Entry level",
"Pszczyna, PL","Engineering Information Technology","Full-time","Electrical & Electronic Manufacturing","Zamel","ELEKTRONIK","Entry level",
"Pszczyna, PL","Engineering Information Technology","Full-time","Electrical & Electronic Manufacturing","Zamel","ELEKTRONIK","Entry level",
"Bydgoszcz, PL","Project Management Information Technology","Full-time","Computer Software","KAELMO","Project Manager","Entry level",
"Bydgoszcz, PL","Project Management Information Technology","Full-time","Computer Software","KAELMO","Project Manager","Entry level",
"Białystok, PL","Other","Full-time","Staffing & Recruiting","Podlaskie Centrum Opiekunek","Poszukujemy Niani","Entry level",
"Białystok, PL","Other","Full-time","Staffing & Recruiting","Podlaskie Centrum Opiekunek","Poszukujemy Niani","Entry level",
"Sieradz, PL","Management Manufacturing","Full-time","Electrical & Electronic Manufacturing Construction Staffing & Recruiting","Polpharma","Operator Techniczny","Entry level",
"Sieradz, PL","Management Manufacturing","Full-time","Electrical & Electronic Manufacturing Construction Staffing & Recruiting","Polpharma","Operator Techniczny","Entry level",
"Warsaw, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Banking","Infopulse","Delivery Manager","Associate",
"Warsaw, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Banking","Infopulse","Delivery Manager","Associate",
"Dąbie, PL","Other","Full-time","Staffing & Recruiting Human Resources Transportation/Trucking/Railroad","Dom Seniora Babie Lato","Pokojowa","Entry level",
"Gliwice, PL","Other","Full-time","Marketing & Advertising","Zakład Kowalski","Odkażanie klatek schodowych","Entry level",
"Mokotów, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Computer Games","Fuero Games","Sound Designer","Entry level",
"Modlniczka, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Computer Games","Urząd Miejski","robotnik magazynowy","Entry level",
"Gliwice, PL","Project Management Information Technology","Full-time","Information Technology & Services Computer Software Management Consulting","Exorigo-Upos","Project Manager - Kierownik Projektu","Entry level",
"Katowice, PL","Management Manufacturing","Full-time","Food & Beverages","Milko","Kierowca /Dostawca","Entry level",
"Gdynia, PL","Sales Business Development","Full-time","Staffing & Recruiting Banking Financial Services","Relyon Recruitment & IT Services","Financial Product Specialist","Associate",
"Złotoryja, PL","Other","Full-time","Financial Services","PROFI CREDIT Polska S.A.","Ciekawa oferta","Associate",
"Złotoryja, PL","Other","Full-time","Financial Services","PROFI CREDIT Polska S.A.","Ciekawa oferta","Associate",
"Szczecin, PL","Human Resources","Contract","Information Technology & Services Computer Software Financial Services","Cpl Jobs Poland","Recruitment Specialist","Entry level",
"Szczecin, PL","Human Resources","Contract","Information Technology & Services Computer Software Financial Services","Cpl Jobs Poland","Recruitment Specialist","Entry level",
"Witomino, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway.com","Kurier Gdynia","Entry level",
"Witomino, PL","Management Manufacturing","Full-time","Information Technology & Services Computer Software Financial Services","Takeaway.com","Kurier Gdynia","Entry level",
"Olesno, PL","Other","Full-time","Internet","MCK","Szwacz/szwaczka","Entry level",
"Kościerzyna, PL","Health Care Provider","Full-time","Hospital & Health Care","Diaverum","Lekarz/Lekarka","Associate",
"Kościerzyna, PL","Health Care Provider","Full-time","Hospital & Health Care","Diaverum","Lekarz/Lekarka","Associate",
