latitude,longitude,salary_low,salary_high
47.5000,19.0833,600000,1200000
50.0600,19.9600,8000,15000
50.0600,19.9600,18000,26000
50.2604,19.0200,18000,26000
51.1104,17.0300,8000,16000
50.8333,4.3333,32000,3200
32.5359,-82.9279,32000,3200
52.4058,16.8999,15000,19000
47.5000,19.0833,900000,1200000
52.4058,16.8999,10000,15000
51.1104,17.0300,10000,15000
51.1104,17.0300,18000,24000
50.0600,19.9600,15000,20000
50.0600,19.9600,12000,20000
47.5000,19.0833,700000,1400000
39.8936,-83.4375,300,400
51.1104,17.0300,21000,22500
47.5000,19.0833,550000,770000
50.0600,19.9600,7000,14000
50.0600,19.9600,16000,18000
50.2604,19.0200,16000,18000
54.3600,18.6400,9000,16000
50.0600,19.9600,15000,21000
50.0600,19.9600,12000,17000
50.0600,19.9600,10000,18000
50.2604,19.0200,10000,18000
51.1104,17.0300,16000,20000
52.4058,16.8999,4200,7000
50.0705,22.0000,14000,22000
52.4058,16.8999,14000,22000
51.1104,17.0300,14000,22000
54.3600,18.6400,15000,20000
52.4058,16.8999,8000,14000
42.7233,-78.8348,3333,5000
51.1104,17.0300,16000,20000
50.0600,19.9600,5000,7000
50.0600,19.9600,6500,8000
50.0600,19.9600,6500,8000
55.6786,12.5635,3000,4500
50.0600,19.9600,24000,30000
50.2604,19.0200,14000,20000
54.3600,18.6400,18000,25000
50.0600,19.9600,13000,18000
50.0600,19.9600,16000,18000
51.1104,17.0300,16000,18000
51.1104,17.0300,14000,17000
50.3304,18.6700,4000,7000
50.2604,19.0200,4000,7000
51.7750,19.4514,4700,5900
51.1104,17.0300,10000,17000
50.0600,19.9600,10000,17000
50.2604,19.0200,10000,17000
50.0600,19.9600,8000,16000
50.0600,19.9600,15000,21000
54.3600,18.6400,17600,134
50.0600,19.9600,9000,16000
50.0600,19.9600,23520,160
54.3600,18.6400,23520,160
51.1104,17.0300,23520,160
52.4058,16.8999,8000,12000
51.7750,19.4514,5000,10000
50.0600,19.9600,16000,20000
51.1104,17.0300,15000,19500
54.3600,18.6400,20000,134
51.7750,19.4514,4000,5000
54.3600,18.6400,17600,120
52.4058,16.8999,13000,16000
50.3304,18.6700,8500,12500
51.1104,17.0300,16000,20000
51.1104,17.0300,13600,17600
51.7750,19.4514,14000,22000
50.0600,19.9600,16000,18000
54.3600,18.6400,19152,22848
50.0600,19.9600,14000,18000
51.2504,22.5727,14000,18000
47.5000,19.0833,600000,900000
54.3600,18.6400,7000,13999
50.0600,19.9600,6500,13000
53.0358,18.6048,9000,18000
47.6211,-122.3244,14000,16000
54.5204,18.5300,4500,7000
50.0600,19.9600,56000,13600
50.0600,19.9600,13000,23000
50.0600,19.9600,16000,26000
51.2504,22.5727,13000,17000
50.0600,19.9600,10000,18000
51.1104,17.0300,10000,18000
51.1104,17.0300,15000,19000
51.1104,17.0300,6000,12000
50.0600,19.9600,8000,11000
50.0600,19.9600,13000,21000
50.0600,19.9600,18000,21000
50.2604,19.0200,18000,21000
52.4058,16.8999,16000,20000
52.4058,16.8999,6000,12000
54.3600,18.6400,3000,6000
52.4058,16.8999,12000,18000
50.0600,19.9600,7000,14000
50.0600,19.9600,8000,12000
54.3600,18.6400,11000,14000
51.1104,17.0300,10000,15000
54.3600,18.6400,4800,9600
50.0600,19.9600,24450,28540
50.2604,19.0200,7000,8000
50.0600,19.9600,14000,18000
51.1104,17.0300,11200,100
50.0600,19.9600,16000,21000
50.0600,19.9600,12000,15000
50.0600,19.9600,7000,13000
50.0600,19.9600,16000,21000
51.1104,17.0300,12800,125
52.4058,16.8999,9000,15000
50.0600,19.9600,12000,16000
51.1104,17.0300,14000,19000
54.3600,18.6400,8000,10500
52.4058,16.8999,6500,10500
54.3600,18.6400,6500,10500
51.1104,17.0300,6500,10500
50.0600,19.9600,6500,10500
53.1504,23.1700,6500,10500
50.2604,19.0200,6500,10500
51.7750,19.4514,6500,10500
50.0705,22.0000,6500,10500
53.1504,23.1700,12000,18000
51.1104,17.0300,10000,14500
50.0600,19.9600,14000,18500
50.0600,19.9600,5000,10000
50.0600,19.9600,20800,170
50.0600,19.9600,14000,18000
47.5000,19.0833,800000,1000000
52.4058,16.8999,14400,130
50.0600,19.9600,9000,18000
50.2604,19.0200,19040,150
50.0600,19.9600,4000,7000
51.1104,17.0300,20000,30000
50.0833,14.4660,20000,30000
54.5204,18.5300,13000,17000
54.3600,18.6400,20000,22500
50.0600,19.9600,17000,21000
50.0600,19.9600,17000,22000
50.2604,19.0200,11000,14000
50.0600,19.9600,15000,18400
51.1104,17.0300,16000,21000
54.3600,18.6400,12000,16000
51.7750,19.4514,7000,11000
51.2504,22.5727,11000,13000
50.0600,19.9600,12000,20000
50.2604,19.0200,15000,25000
51.1104,17.0300,14400,17600
51.1104,17.0300,14000,18000
50.3304,18.6700,2600,5000
54.3600,18.6400,13000,18000
50.0600,19.9600,7500,12500
53.1204,18.0100,5000,7500
53.4204,14.5300,5000,7500
50.0600,19.9600,12000,18000
50.0705,22.0000,12000,18000
51.1104,17.0300,3500,5500
52.4058,16.8999,3500,5500
50.0600,19.9600,10000,16000
50.0600,19.9600,7000,11000
54.3600,18.6400,16000,134
50.0600,19.9600,18000,26000
54.5204,18.5300,15000,19000
54.3600,18.6400,15000,19000
51.2504,22.5727,19200,170
51.1104,17.0300,15000,21000
50.0600,19.9600,14000,19000
52.4058,16.8999,7700,14800
51.1104,17.0300,11000,15000
50.0600,19.9600,15000,19000
53.1204,18.0100,14000,18000
50.0600,19.9600,6000,9000
50.2604,19.0200,6000,9000
50.2604,19.0200,13000,22000
51.7750,19.4514,16000,116
50.0600,19.9600,12800,140
54.3600,18.6400,9000,12000
50.0600,19.9600,15000,20000
50.0600,19.9600,10000,14000
50.2604,19.0200,10000,14000
54.3600,18.6400,14000,18000
50.0600,19.9600,9600,18000
50.0600,19.9600,12000,18000
50.0600,19.9600,7000,14000
51.2504,22.5727,9600,120
54.3600,18.6400,8000,16000
50.0600,19.9600,7000,13000
50.0600,19.9600,10000,13000
50.0600,19.9600,8740,12100
51.1104,17.0300,15000,21000
50.0600,19.9600,16000,20000
52.4058,16.8999,13000,16000
51.7750,19.4514,72000,18000
51.1104,17.0300,6400,60
51.1104,17.0300,16000,21800
51.1104,17.0300,18000,24000
51.1104,17.0300,12000,16000
53.4204,14.5300,12000,16000
52.4058,16.8999,6000,11000
53.4204,14.5300,12000,16000
53.1204,18.0100,12000,16000
50.0600,19.9600,13000,18000
50.0705,22.0000,13000,18000
50.0600,19.9600,12000,16000
50.0600,19.9600,14000,18000
50.0600,19.9600,12800,130
50.2604,19.0200,17600,119
50.0600,19.9600,16800,25500
51.1104,17.0300,10000,18000
50.0600,19.9600,9000,15000
51.1104,17.0300,10000,18000
51.1104,17.0300,12000,18000
54.3600,18.6400,16000,22000
51.1104,17.0300,17600,130
50.6850,17.9313,2600,4000
54.3600,18.6400,2600,4000
