latitude,longitude,salary_low
59.3508,18.0973,60000.0
43.1791,-77.9406,60000.0
39.7859,-75.9801,63636.36363636364
42.5378,-88.0149,31818.18181818182
12.9700,77.5600,15351.81236673774
39.8936,-83.4375,39772.72727272727
42.3363,-77.3180,56818.181818181816
46.9167,7.4670,120.75471698113206
47.3800,8.5500,70754.71698113208
42.2400,-71.9120,62500.0
55.9483,-3.2191,73863.63636363637
37.1464,-83.7635,51136.36363636364
36.1324,-5.3781,56818.181818181816
43.7000,-79.4200,62091.50326797386
40.8698,-97.5943,70454.54545454546
51.0830,-114.0800,62091.50326797386
38.6194,-90.3476,73863.63636363637
34.7559,-87.7007,69318.18181818182
42.2308,-72.7386,113636.36363636363
41.5658,-71.6307,51136.36363636364
45.5000,-73.5833,58823.529411764706
47.1790,8.4870,103773.58490566038
45.6367,-122.5970,107843.13725490196
52.9703,-1.1700,68181.81818181818
-36.7096,142.1900,56818.181818181816
51.4300,5.5000,47727.27272727273
42.5298,-83.7847,56818.181818181816
40.0911,-74.8975,68181.81818181818
33.5429,-86.5636,45454.545454545456
44.0400,-64.7200,73863.63636363637
42.0400,-76.8774,56818.181818181816
41.6979,-71.9998,37500.0
50.8333,-0.7833,79545.45454545454
41.9914,-70.8633,36363.63636363636
54.5968,-5.9254,73863.63636363637
-20.7163,143.1333,85227.27272727272
47.5000,19.0833,190.25358084418232
50.0600,19.9600,13100.436681222707
50.2604,19.0200,13100.436681222707
41.2443,-85.8478,9170.305676855894
51.1104,17.0300,13100.436681222707
50.8333,4.3333,8384.279475982532
32.5359,-82.9279,8384.279475982532
52.4058,16.8999,14410.480349344978
51.9504,15.5000,28820.960698689956
54.3600,18.6400,10480.349344978165
50.0705,22.0000,26200.873362445414
50.3304,18.6700,13100.436681222707
51.7750,19.4514,13100.436681222707
51.2504,22.5727,15720.524017467249
53.0358,18.6048,36681.22270742358
47.6211,-122.3244,41921.39737991266
54.5204,18.5300,18340.61135371179
53.1504,23.1700,10742.35807860262
50.0833,14.4660,78602.62008733624
53.1204,18.0100,10480.349344978165
53.4204,14.5300,19650.65502183406
50.6850,17.9313,10480.349344978165
34.1139,-118.4068,47161.572052401745
37.4000,-122.0796,49781.65938864629
46.2504,20.1500,1902.535808441823
47.5305,21.6300,3261.48995732884
46.0804,18.2200,1223.058733998315
53.8000,20.4800,26200.873362445414
46.9000,19.7000,1902.535808441823
50.8904,20.6600,49781.65938864629
39.7915,-74.9375,85938.86462882096
