"Employment Type","Job Functions","Industry","Company Location","position","Company Name","Seniority Level"
"Full-time","Customer Service Analyst","Outsourcing/Offshoring","Lodz, Lodz District, Poland","Master Data Specialist","Infosys Poland","Associate",
"Full-time","Other","Hospital & Health Care","Łódź, PL","Tender specialist","Philips","Associate",
"Full-time","Information Technology","Information Technology & Services","Łódź, Łódzkie, Poland","Administrator Linux","Modis","Mid-Senior level",
"Part-time","Other","Marketing & Advertising E-learning Education Management","Łódź, PL","Education Helper","*Research","Entry level",
"Full-time","Other","Primary/Secondary Education E-learning Education Management","Ozorków, PL","Zatrudnię szwaczkę","Magdalena Co.","Entry level",
"Full-time","Management Manufacturing","Electrical & Electronic Manufacturing","Łódź, PL","Continuous Improvement Leader","ABB","Entry level",
"Full-time","Administrative","Higher Education Research Biotechnology","Łódź, PL","Assistant","Medical University of Lodz","Entry level",
"Full-time","Other","Media Production","Łódź, PL","Wieruszów","The Argus","Entry level",
"Full-time","Other","Media Production","Łódź, PL","Wieruszów","The Argus","Entry level",
"Full-time","Finance Analyst","Computer Networking","Lodz, Lodz District, Poland","Europe - Data Analyst","Fujitsu Poland","Mid-Senior level",
"Full-time","Human Resources","Logistics & Supply Chain Staffing & Recruiting Financial Services","Łódź, PL","Recruitment Specialist","UPS","Entry level",
"Full-time","Human Resources","Logistics & Supply Chain Staffing & Recruiting Financial Services","Łódź, PL","Recruitment Specialist","UPS","Entry level",
"Full-time","Other","Information Technology & Services","Konstantynów Łódzki, PL","Szwacz","Nowa Szkola Sp. z o.o.","Entry level",
"Full-time","Other","Information Technology & Services","Konstantynów Łódzki, PL","Szwacz","Nowa Szkola Sp. z o.o.","Entry level",
"Full-time","Other","Construction","Łódź, PL","zatrudnie","COTTON BARONS LIMITED","Entry level",
"Full-time","Other","Construction","Łódź, PL","zatrudnie","COTTON BARONS LIMITED","Entry level",
"Full-time","Information Technology","Retail","Łódź, PL","Technical Support Specialist, IKEA Retail, Łódź","IKEA Group","Entry level",
"Full-time","Information Technology","Retail","Łódź, PL","Technical Support Specialist, IKEA Retail, Łódź","IKEA Group","Entry level",
"Full-time","Other","Food & Beverages Consumer Goods Financial Services","Łódź, PL","Register Your Interest – Europe, Middle-East and Africa","Tate & Lyle","Entry level",
