Role,Tags,Additional,Salary,Locations
React Frontend Developer,"[' React', ' JavaScript', ' CSS', ' Git', ' REST', ' html5', ' node.js', ' Angular', ' TypeScript', ' Team player', ' Communication skills', ' Leadership skills']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 600k - 1.2M HUF , Budapest 
Front End Developer,"[' Angular', ' JavaScript', ' CSS', ' HTML', ' React', ' Design UI prototypes', ' Redux', ' HTTP/REST', ' Perform frontend requirements analysis', ' vue.js', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Analytical skills', ' TypeScript', ' REST', ' webpack', ' Knowledge of Test automation tools (Cypress, Puppeteer)', ' CICD', ' UI prototyping tools (Sketch, Invision, Figma)', ' Node.js / Python / Java', ' Graphics software - Adobe Suite / Photoshop', ' Familiarity with a mobile first design approach']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 8000 - 15000 PLN , Kraków 
Frontend Developer,"[' JavaScript', ' jQuery', ' Angular', ' CSS', ' HTML', ' redux', ' Team player', ' Communication skills', ' React', ' vue.js', ' AWS/Azure', ' chai/mocca', ' English']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 900 - 1300 PLN ," Kraków, Katowice "
Python Developer,"[' Python', ' Django', ' PostgreSQL', ' experience in development of web applications', ' English', ' Team player', ' Positive attitude', ' insight into IT security issues']","{' Start ': ' 2020-05-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 12000 - 14000 PLN , Warszawa 
Mid/Senior Java Developer (with English),"[' Java', ' Spring', ' Hibernate', ' JavaScript', ' Angular', ' XML', ' Servlets', ' Web Services', ' Struts', ' English', ' SQL', ' JSP', ' JSF', ' jQuery', ' SQL Server', ' Oracle']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes  (10000 PLN) ', ' Freedom to choose tools ': ' Yes '}", 8000 - 16000 PLN , Wrocław 
Risk Management Contractor,"[' SQL', ' Business Inteligence', ' An advanced degree in finance', ' Programming', ' MA or MSc in economics, physics, mathematics, IT or rel...', ' English', ' Critical thinking', ' Problem solving', ' Proactivity', ' Open to travel inside Western Europe', ' Python', ' ETL', ' Oracle DB', ' SQL Server', ' PostgreSQL', ' R', ' Machine learning', ' VBA', ' OneSumX', ' SAS', ' CFA, FRM, PRM', ' Temenos', ' Avaloq', ' Moses', ' Olympic', ' SAP', ' Tableau', ' Qlickview', ' Business Objects', ' Polish', ' Dutch', ' French']","{' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (1 year) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' A lot ', ' Freedom to choose tools ': ' Yes ', ' Business opportunities ': None}", 1600 - 3200 PLN ," Brussels, Frankfurt am main, Dublin "
Remote Python Developer,"[' Python', ' Git', ' ETL', ' sql', ' PyUnit', ' English', ' Team player', ' Communication skills', ' Docker', ' Kubernetes', ' AWS CloudFormation', ' Terraform', ' Pandas']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 600 - 750 PLN , Warsaw 
Remote DevOps/Network Engineer,"[' Python', ' Linux', ' Docker', ' NFV/SDN', ' Bash', ' English', ' Polish', ' Team player', ' Networking', ' Virtualization platforms', ' Application deployment', ' Solution design', ' Prototype testing', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 13000 - 20000 PLN , Warsaw 
Analityk Systemowy,"[' SQL', ' UML', ' BPMN', ' Enterprise architect', ' System analysis', ' English', ' Team player', ' Communication skills', ' JIRA', ' Confluence', ' Business analysis', ' Financial business domain']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 15000 - 19000 PLN , Poznań 
Remote Security Engineer,"[' Linux', ' Cryptography', ' Blockchain', ' English', ' Critical thinking', ' Problem solving', ' Proactivity', ' Git', ' .NET']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}",,
