job_type,experience,role,industry,company_size,company_type,salary,remote,location,tags
Full-time,"Mid-Level, Senior",None,"Online Media, Software Development / Engineering, Web Technology",1k–5k people,Private,None,None,"Amsterdam,Netherlands","['amazon-web-services', 'aws', 'cloud', 'go', 'python']"
Full-time,"Mid-Level, Senior",DevOps,"Digital Health, Health Care, Healthcare",201–500 people,VC Funded,$130k - 150k (US Dollars),None,"Denver,CO","['python', 'google-cloud-platform', 'postgresql', 'docker', 'kubernetes']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['reactjs', 'ios', 'swift']"
Full-time,None,None,None,None,None,None,None,"MinatoCity,Japan","['amazon-web-services', 'go', 'php']"
Full-time,None,"Backend Developer, Mobile Developer",None,None,None,None,None,"Mumbai,India","['android', 'java', 'rest']"
Full-time,None,None,None,None,None,None,None,"Kochi,India","['wordpress', 'php', 'oop']"
Full-time,None,None,None,None,None,None,None,"Coimbatore,India","['php', 'wordpress', 'html']"
Full-time,None,None,None,None,None,None,None,"ShinjukuCity,Japan","['ruby-on-rails', 'ruby', 'windows']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Pune,India","['java', 'reactjs', 'tdd']"
Full-time,None,None,None,None,None,None,None,"MinatoCity,Japan","['python', 'amazon-web-services', 'ruby-on-rails']"
Full-time,None,None,None,None,None,None,None,"NaviMumbai,India","['node.js', 'mongodb', 'javascript']"
Full-time,"Junior, Mid-Level",Full Stack Developer,"Accounting Software, Agile Software Development, Cloud-Based Solutions",10k+ people,Public,None,None,"Lawrenceville,GA","['c#', 'api', 'asp.net']"
Full-time,"Senior, Lead, Manager","Backend Developer, Database Administrator","B2B, Manufacturing, SaaS",11–50 people,Private,None,None,"Chennai,India","['erp', 'edi', 'rest', 'rpa', 'etl']"
Full-time,None,None,None,None,None,None,None,"Ahmedabad,India","['php', 'model-view-controller', 'mvc']"
Full-time,None,DevOps,None,None,None,None,None,"Hyderabad,India","['devops', 'cloud']"
Full-time,None,None,None,None,None,None,None,"福岡市,Japan",['java']
Full-time,Senior,Full Stack Developer,None,None,None,None,None,"Baden,Switzerland","['c#', '.net', 'reactjs', 'docker', 'javascript']"
Full-time,None,None,None,None,None,None,None,"MinatoCity,Japan","['php', 'java', 'javascript']"
Full-time,None,Designer,None,None,None,None,None,"Ahmedabad,India","['wordpress', 'php', 'user-interface']"
Full-time,None,None,None,None,None,None,None,"Fujisawa,Japan","['html', 'css', 'html5']"
Full-time,None,None,None,None,None,None,None,"ShinagawaCity,Japan","['ruby', 'ruby-on-rails']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Surat,India","['php', 'testing']"
Full-time,None,None,None,None,None,None,None,"MeguroCity,Japan","['reactjs', 'ruby-on-rails', 'ruby']"
Full-time,None,QA/Test Developer,"Coupons & Discounts, E-Commerce",51–200 people,Private,None,None,"LasVegas,NV","['qa', 'testing', 'selenium', 'phpunit', 'behat']"
Full-time,None,None,None,None,None,None,None,"Chennai,India","['php', 'mysql', 'wordpress']"
Full-time,None,Database Administrator,None,None,None,None,None,"Kobe,Japan","['c#', 'java', 'oracle']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Hyderabad,India","['automation', 'testing', 'python']"
Full-time,None,None,None,None,None,None,None,"ChiyodaCity,Japan","['vb.net', 'java', 'spring']"
Full-time,"Mid-Level, Senior, Lead",Mobile Developer,"Communications, Enterprise Software, SaaS",1–10 people,VC Funded,$90k - 130k (US Dollars),On-siteandlimitedremote,"LosAngeles,CA",[]
Full-time,None,None,None,None,None,None,None,"Kochi,India","['php', 'javascript', 'html']"
Full-time,None,None,None,None,None,None,None,"Ahmedabad,India","['php', 'mysql', 'html']"
Internship,Student,QA/Test Developer,"E-Commerce, SaaS, Web Technology",501–1k people,Private,None,None,"Hamburg,Deutschland","['security', 'testing']"
Full-time,None,None,None,None,None,None,None,"Fukuoka,Japan","['python', 'java']"
Full-time,None,None,None,None,None,None,None,"Bengaluru,India","['c#', '.net', 'asp.net']"
Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,"Information Technology, Product Development, Real Estate",11–50 people,Private,None,None,"Melbourne,Australia","['reactjs', 'java', 'python', 'graphql', 'amazon-web-services']"
Full-time,None,None,None,None,None,None,None,"Pune,India","['php', 'symfony2', 'cloud']"
Full-time,None,System Administrator,None,None,None,None,None,"MinatoCity,Japan","['redis', 'c#', 'asp.net']"
Full-time,None,None,None,None,None,None,None,"Takasaki,Japan","['java', 'c++']"
Full-time,None,None,None,None,None,None,None,"Kochi,India","['wordpress', 'css', 'html']"
Full-time,None,None,None,None,None,None,None,"ShibuyaCity,Japan","['php', 'laravel', 'mysql']"
Full-time,None,Backend Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"Redmond,WA","['c++', 'qt', 'api']"
Full-time,None,None,None,None,None,None,None,"Nagoya,Japan",['java']
Full-time,None,None,None,None,None,None,None,"Yokohama,Japan",['mysql']
Full-time,None,None,None,None,None,None,None,"Bengaluru,India","['php', 'wordpress', 'mysql']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['ios', 'javascript', 'reactjs']"
Full-time,None,None,None,None,None,None,None,"ToshimaCity,Japan",['java']
Full-time,Mid-Level,Mobile Developer,"Cybersecurity, Software Development, Software Development / Engineering",1k–5k people,Private,None,None,"Moscow,Russia","['ios', 'swift', 'objective-c']"
Full-time,None,None,None,None,None,None,None,"渋谷区,Japan","['java', 'javascript', 'php']"
Full-time,None,None,None,None,None,None,None,"Pune,India","['php', 'ajax', 'mysql']"
Full-time,"Mid-Level, Senior",None,"Computer Software, Mobile Application, Web Development",11–50 people,Private,$60k - 120k (US Dollars),None,"Kowloon,HongKong",['kotlin']
Full-time,None,Database Administrator,None,None,None,None,None,"Hyderabad,India","['oracle', 'unix', 'java']"
Full-time,None,None,None,None,None,None,None,"ChiyodaCity,Japan","['asp.net', 'wpf', 'c#']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['android', 'java', 'mobile']"
Full-time,None,Database Administrator,None,None,None,None,None,"Kitakyushu,Japan","['c#', 'java', 'oracle']"
Full-time,None,None,None,None,None,None,None,"NewDelhi,India","['php', 'mysql', 'mongodb']"
Full-time,None,None,None,None,None,None,None,"Kolkata,India","['php', 'sql']"
Full-time,None,None,None,None,None,None,None,"Chicago,IL","['java', 'python', 'sql']"
Full-time,"Mid-Level, Senior, Lead",DevOps,None,None,None,None,None,"Haymarket,Australia","['.net', 'devops', 'sql', 'continuous-integration', 'continuous-deployment']"
Full-time,None,System Administrator,None,None,None,None,None,"ShinagawaCity,Japan","['apache', 'amazon-web-services', 'apache-spark']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Ahmedabad,India","['android', 'java', 'mobile']"
Full-time,"Mid-Level, Senior",None,"Hardware Development, Software Development, Software Development / Engineering",51–200 people,Private,€47k - 63k (Euros),On-siteandlimitedremote,"Eindhoven,Netherlands",[]
Full-time,None,Mobile Developer,None,None,None,None,None,"Ahmedabad,India","['reactjs', 'android', 'ios']"
Full-time,"Lead, Manager",None,"Carsharing, Marketplace, Transportation",201–500 people,Private,None,Remote,Noofficelocation,"['microservices', 'go', 'mesos', 'marathon', 'amazon-web-services']"
