"Seniority Level","Industry","Company Name","Job Functions","Employment Type","Company Location","position"
"Mid-Senior level","Real Estate","Goldman Recruitment - Executive Search / Search & Selection","Accounting/Auditing","Full-time","Warsaw, Mazowieckie, Poland","Finance Assistant",
"Associate","Information Technology & Services Computer Software Financial Services","CGI","Other","Full-time","Warsaw, PL","Junior/Mid DevOps",
"Mid-Senior level","Biotechnology Pharmaceuticals","Polpharma Biologics","Quality Assurance Manufacturing","Full-time","Warsaw, Mazowieckie, Poland","Validation Manager",
"Mid-Senior level","Consumer Goods","RB","Information Technology","Full-time","Warsaw, PL","DevSecOps",
"Mid-Senior level","Consumer Goods Food & Beverages Food Production","Unilever","Marketing Sales","Full-time","Warsaw, PL","Unilever Future Leaders Programme - Marketing",
"Mid-Senior level","Information Technology & Services Telecommunications","Morson International","Consulting Legal","Full-time","Warsaw, Mazowieckie, Poland","Data Protection Specialist",
"Entry level","Marketing & Advertising Information Technology & Services Financial Services","Visa Inc.","Research Analyst Information Technology","Full-time","Warsaw, PL","Graduate - Fintech Future Leaders Programme",
"Entry level","Marketing & Advertising Information Technology & Services Financial Services","Visa Inc.","Research Analyst Information Technology","Full-time","Warsaw, PL","Graduate - Fintech Future Leaders Programme",
"Entry level","Marketing & Advertising Information Technology & Services Financial Services","Visa Inc.","Research Analyst Information Technology","Full-time","Warsaw, PL","Graduate - Fintech Future Leaders Programme",
"Associate","Pharmaceuticals Chemicals Biotechnology","Sanofi","Sales Strategy/Planning Marketing","Full-time","Warsaw, PL","Junior Commercial Analyst",
"Associate","Pharmaceuticals Chemicals Biotechnology","Sanofi","Sales Strategy/Planning Marketing","Full-time","Warsaw, PL","Junior Commercial Analyst",
"Associate","Consumer Goods Food & Beverages","PepsiCo","Human Resources","Full-time","Warsaw, PL","Training Analyst",
"Associate","Consumer Goods Food & Beverages","PepsiCo","Human Resources","Full-time","Warsaw, PL","Training Analyst",
"Mid-Senior level","Medical Device","Getinge","Engineering Customer Service Sales","Full-time","Warsaw, Mazowieckie, Poland","Koordynator Serwisu",
"Mid-Senior level","Medical Device","Getinge","Engineering Customer Service Sales","Full-time","Warsaw, Mazowieckie, Poland","Koordynator Serwisu",
"Associate","Research Biotechnology Pharmaceuticals","Nature Research (Publishing)","Other","Contract","Warsaw, PL","Group Leaders (2 positions)",
"Associate","Research Biotechnology Pharmaceuticals","Nature Research (Publishing)","Other","Contract","Warsaw, PL","Group Leaders (2 positions)",
"Associate","Consumer Goods Food & Beverages Food Production","Nestlé","Analyst Information Technology","Full-time","Warsaw, PL","IT & Compliance Manager",
"Associate","Consumer Goods Food & Beverages Food Production","Nestlé","Analyst Information Technology","Full-time","Warsaw, PL","IT & Compliance Manager",
"Associate","Hospital & Health Care Medical Device Pharmaceuticals","Johnson & Johnson","Management Manufacturing","Full-time","Warsaw, PL","Consignment Inventory Coordinator",
"Associate","Hospital & Health Care Medical Device Pharmaceuticals","Johnson & Johnson","Management Manufacturing","Full-time","Warsaw, PL","Consignment Inventory Coordinator",
"Mid-Senior level","Staffing & Recruiting","People Sp. z o.o.","Other","Full-time","Warsaw, Mazowieckie, Poland","Szukasz pracy?",
"Mid-Senior level","Law Practice","White & Case LLP","Finance","Full-time","Warsaw, PL","Billing Coordinator",
"Mid-Senior level","Law Practice","White & Case LLP","Finance","Full-time","Warsaw, PL","Billing Coordinator",
"Associate","Events Services","Evention Sp. z o.o.","Marketing Public Relations Writing/Editing","Full-time","Warsaw, PL","Community Manager",
"Entry level","Marketing & Advertising Information Technology & Services Computer Software","Lionbridge","Quality Assurance","Contract","Warsaw, PL","Compliance QA Game Tester (Online recruitment process)",
"Mid-Senior level","Marketing & Advertising Consumer Goods Retail","Coty","Distribution Strategy/Planning Supply Chain","Full-time","Warsaw, PL","New Product Delivery Manager",
"Mid-Senior level","Chemicals","Solenis","General Business Strategy/Planning Administrative","Full-time","Warsaw, Mazowieckie, Poland","Travel&Expense Administrator",
"Associate","Events Services","Evention Sp. z o.o.","Marketing Public Relations Writing/Editing","Full-time","Warsaw, PL","Community Manager",
"Associate","Information Technology & Services Computer Software Management Consulting","ANEGIS","Education Training","Full-time","Warsaw, PL","Academic Programmes",
"Associate","Consumer Goods Food & Beverages Food Production","Danone","Marketing Sales","Full-time","Warsaw, PL","Senior Strategy & Insight Manager",
"Associate","Hospital & Health Care","Philips","Business Development Sales","Full-time","Warsaw, PL","Trainee Analyst",
"Associate","Hospital & Health Care","Philips","Business Development Sales","Full-time","Warsaw, PL","Trainee Analyst",
"Associate","Information Services Internet","Google","Information Technology","Full-time","Warsaw, PL","Interaction Designer, Google Cloud",
"Associate","Information Services Internet","Google","Information Technology","Full-time","Warsaw, PL","Interaction Designer, Google Cloud",
"Entry level","Information Technology & Services Computer Software Internet","j-labs software specialists","Administrative","Full-time","Warsaw, PL","Office Assistant",
"Entry level","Information Technology & Services Computer Software Internet","j-labs software specialists","Administrative","Full-time","Warsaw, PL","Office Assistant",
"Entry level","Pharmaceuticals","IQVIA","Other","Full-time","Warsaw, PL","Project Coordinator (R1123726)",
"Entry level","Pharmaceuticals","IQVIA","Other","Full-time","Warsaw, PL","Project Coordinator (R1123726)",
"Associate","Construction Information Technology & Services Staffing & Recruiting","Egis","Administrative","Contract","Warsaw, PL","European Office Manager",
"Associate","Medical Device","BD","Business Development Health Care Provider Customer Service","Full-time","Warsaw, Mazowieckie, Poland","Clinical Specialist",
"Associate","Medical Device","BD","Business Development Health Care Provider Customer Service","Full-time","Warsaw, Mazowieckie, Poland","Clinical Specialist",
"Mid-Senior level","Hospital & Health Care","Telemedi.co - telemedicine solutions","Information Technology","Full-time","Warsaw, Masovian District, Poland","Chief Technology Officer",
"Mid-Senior level","Hospital & Health Care","Telemedi.co - telemedicine solutions","Information Technology","Full-time","Warsaw, Masovian District, Poland","Chief Technology Officer",
"Entry level","Computer Software Internet Financial Services","Kraken Digital Asset Exchange Remote","Finance Sales","Full-time","Warsaw, PL","Compliance Associate - EDD - Remote",
"Entry level","Computer Software Internet Financial Services","Kraken Digital Asset Exchange Remote","Finance Sales","Full-time","Warsaw, PL","Compliance Associate - EDD - Remote",
"Entry level","Banking","RBS","Engineering Information Technology","Full-time","Warsaw, PL","Data Scientist",
"Entry level","Banking","RBS","Engineering Information Technology","Full-time","Warsaw, PL","Data Scientist",
"Director","Non-profit Organization Management Government Administration Financial Services","Center for International Security and Cooperation","Information Technology","Full-time","Warsaw, PL","CHIEF, ICT",
"Mid-Senior level","Real Estate","Goldman Recruitment - Executive Search / Search & Selection","Accounting/Auditing","Full-time","Warsaw, Mazowieckie, Poland","Finance Assistant",
"Mid-Senior level","Financial Services","Volkswagen Financial Services (Poland)","Information Technology","Full-time","Warsaw, Mazowieckie, Poland","IT Vendor Manager",
"Mid-Senior level","Chemicals","Solenis","General Business Strategy/Planning Administrative","Full-time","Warsaw, Mazowieckie, Poland","Travel&Expense Administrator",
"Mid-Senior level","Insurance","Generali","Information Technology","Full-time","Warsaw, Masovian District, Poland","Tester Automatyzujący",
"Mid-Senior level","Information Technology & Services Staffing & Recruiting Financial Services","PMSolutions","Other","Full-time","Warsaw, PL","FRANCUSKI - WARSZAWA",
"Entry level","Higher Education Research Government Administration","Systems Research Institute, Polish Academy of Sciences","Research Analyst Information Technology","Full-time","Warsaw, PL","Research Assistant",
"Mid-Senior level","Information Technology & Services Computer Software Internet","EcoVadis","Other","Full-time","Warsaw, PL","UX Copywriter & Content Strategist",
"Mid-Senior level","Information Technology & Services Environmental Services Staffing & Recruiting","PharmiWeb.Jobs","Other","Full-time","Warsaw, PL","IHCRA",
"Mid-Senior level","Information Technology & Services Environmental Services Staffing & Recruiting","PharmiWeb.Jobs","Other","Full-time","Warsaw, PL","IHCRA",
"Entry level","Commercial Real Estate Facilities Services Real Estate","JLL","Other","Full-time","Warsaw, PL","Workplace Coordinator- m/w/d",
"Entry level","Commercial Real Estate Facilities Services Real Estate","JLL","Other","Full-time","Warsaw, PL","Workplace Coordinator- m/w/d",
"Mid-Senior level","Marketing & Advertising Human Resources Hospital & Health Care","Alcon","Finance Sales","Full-time","Warsaw, PL","Business Planning & Analysis Manager",
"Mid-Senior level","Marketing & Advertising Human Resources Hospital & Health Care","Alcon","Finance Sales","Full-time","Warsaw, PL","Business Planning & Analysis Manager",
"Mid-Senior level","Chemicals Food & Beverages Food Production","Cargill","Management Manufacturing","Full-time","Warsaw, PL","Logistics Specialist",
"Mid-Senior level","Chemicals Food & Beverages Food Production","Cargill","Management Manufacturing","Full-time","Warsaw, PL","Logistics Specialist",
"Mid-Senior level","Internet","Facebook","Business Development Sales","Full-time","Warsaw, PL","Client Partner, CEE",
"Mid-Senior level","Internet","Facebook","Business Development Sales","Full-time","Warsaw, PL","Client Partner, CEE",
"Mid-Senior level","Telecommunications","Ericsson","Project Management Information Technology","Full-time","Warsaw, PL","Project Manager",
"Mid-Senior level","Telecommunications","Ericsson","Project Management Information Technology","Full-time","Warsaw, PL","Project Manager",
"Mid-Senior level","Telecommunications","Urząd Miejski","Other","Full-time","Warsaw, PL","Automatyk k/m",
"Mid-Senior level","Luxury Goods & Jewelry","Pandora","Information Technology","Full-time","Warsaw, PL","Master Data Analyst",
"Associate","Consumer Goods Food & Beverages Tobacco","JTI (Japan Tobacco International)","Management Manufacturing","Full-time","Warsaw, PL","Process Improvement Specialist",
"Associate","Consumer Goods Food & Beverages Tobacco","JTI (Japan Tobacco International)","Management Manufacturing","Full-time","Warsaw, PL","Process Improvement Specialist",
"Entry level","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","Information Technology","Full-time","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa",
"Entry level","Information Technology & Services Staffing & Recruiting Management Consulting","Cyclad","Information Technology","Full-time","Warsaw, PL","Administrator ds. Sieci i Bezpieczeństwa",
"Mid-Senior level","Telecommunications Information Technology & Services Computer Software","Huawei","Research Information Technology Engineering","Full-time","Warsaw, Mazowieckie, Poland","Vulnerability Researcher",
"Entry level","Financial Services Investment Banking Computer & Network Security","Goldman Sachs","Engineering Information Technology Finance","Full-time","Warsaw, Masovian District, Poland","New Analyst Programme in Engineering Division - Warsaw (Recent Graduates)",
"Entry level","Computer Software Information Technology & Services Internet","Amazon Web Services (AWS)","Consulting Information Technology Engineering","Full-time","Warsaw, PL","Data Lake & Analytics - Consultant",
