job_type,experience,role,industry,company_size,company_type,salary,remote,location,tags
Full-time,"Mid-Level, Senior",DevOps,"Digital Health, Health Care, Healthcare",201–500 people,VC Funded,$130k - 150k (US Dollars),None,"Denver,CO","['python', 'google-cloud-platform', 'postgresql', 'docker', 'kubernetes']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Pune,India","['reactjs', 'ios', 'swift']"
Full-time,None,"Backend Developer, Mobile Developer",None,None,None,None,None,"Mumbai,India","['android', 'java', 'rest']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Pune,India","['java', 'reactjs', 'tdd']"
Full-time,"Junior, Mid-Level",Full Stack Developer,"Accounting Software, Agile Software Development, Cloud-Based Solutions",10k+ people,Public,None,None,"Lawrenceville,GA","['c#', 'api', 'asp.net']"
Full-time,"Senior, Lead, Manager","Backend Developer, Database Administrator","B2B, Manufacturing, SaaS",11–50 people,Private,None,None,"Chennai,India","['erp', 'edi', 'rest', 'rpa', 'etl']"
Full-time,None,DevOps,None,None,None,None,None,"Hyderabad,India","['devops', 'cloud']"
Full-time,Senior,Full Stack Developer,None,None,None,None,None,"Baden,Switzerland","['c#', '.net', 'reactjs', 'docker', 'javascript']"
Full-time,None,Designer,None,None,None,None,None,"Ahmedabad,India","['wordpress', 'php', 'user-interface']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Surat,India","['php', 'testing']"
Full-time,None,QA/Test Developer,"Coupons & Discounts, E-Commerce",51–200 people,Private,None,None,"LasVegas,NV","['qa', 'testing', 'selenium', 'phpunit', 'behat']"
Full-time,None,Database Administrator,None,None,None,None,None,"Kobe,Japan","['c#', 'java', 'oracle']"
Full-time,None,QA/Test Developer,None,None,None,None,None,"Hyderabad,India","['automation', 'testing', 'python']"
Full-time,"Mid-Level, Senior, Lead",Mobile Developer,"Communications, Enterprise Software, SaaS",1–10 people,VC Funded,$90k - 130k (US Dollars),On-siteandlimitedremote,"LosAngeles,CA",[]
Internship,Student,QA/Test Developer,"E-Commerce, SaaS, Web Technology",501–1k people,Private,None,None,"Hamburg,Deutschland","['security', 'testing']"
Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,"Information Technology, Product Development, Real Estate",11–50 people,Private,None,None,"Melbourne,Australia","['reactjs', 'java', 'python', 'graphql', 'amazon-web-services']"
Full-time,None,System Administrator,None,None,None,None,None,"MinatoCity,Japan","['redis', 'c#', 'asp.net']"
Full-time,None,Backend Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"Redmond,WA","['c++', 'qt', 'api']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['ios', 'javascript', 'reactjs']"
Full-time,Mid-Level,Mobile Developer,"Cybersecurity, Software Development, Software Development / Engineering",1k–5k people,Private,None,None,"Moscow,Russia","['ios', 'swift', 'objective-c']"
Full-time,None,Database Administrator,None,None,None,None,None,"Hyderabad,India","['oracle', 'unix', 'java']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['android', 'java', 'mobile']"
Full-time,None,Database Administrator,None,None,None,None,None,"Kitakyushu,Japan","['c#', 'java', 'oracle']"
Full-time,"Mid-Level, Senior, Lead",DevOps,None,None,None,None,None,"Haymarket,Australia","['.net', 'devops', 'sql', 'continuous-integration', 'continuous-deployment']"
Full-time,None,System Administrator,None,None,None,None,None,"ShinagawaCity,Japan","['apache', 'amazon-web-services', 'apache-spark']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Ahmedabad,India","['android', 'java', 'mobile']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Ahmedabad,India","['reactjs', 'android', 'ios']"
Full-time,None,DevOps,"Financial Services, Information Technology, Software Development",201–500 people,Private,None,None,"Mason,OH","['azure', 'sql', 'agile']"
Full-time,"Mid-Level, Senior",DevOps,"Computer Software, Financial Technology",11–50 people,Private,None,None,"Schlieren,Switzerland","['java', 'sql', 'python', 'mobile', 'devops']"
Full-time,"Junior, Mid-Level",Frontend Developer,"Software Consulting, Software Development, Software Development / Engineering",501–1k people,Private,None,On-siteandlimitedremote,"Aachen,Deutschland",[]
Full-time,None,Mobile Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"London,UK",[]
Full-time,"Student, Mid-Level",System Administrator,"Agile Software Development, Enterprise Software, IT Consulting",201–500 people,Private,None,On-siteandlimitedremote,"Leinfelden-Echterdingen,Germany",[]
Full-time,Mid-Level,Embedded Developer,None,None,None,None,None,"Oslo,Norwegen","['c++', 'rust', 'grpc', 'ros']"
Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['php', 'jquery', 'mysql']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ChuoCity,Japan","['swift', 'objective-c', 'ruby-on-rails']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ChuoCity,Japan","['ios', 'android', 'c#']"
Full-time,None,Backend Developer,None,None,None,None,None,"Hyderabad,India","['ajax', 'hibernate', 'mysql']"
Full-time,Mid-Level,System Administrator,"Computer Software, Data & Analytics, Financial Technology",10k+ people,Public,None,None,"London,UK","['cloud', 'amazon-web-services', 'python']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Naha,Japan","['amazon-web-services', 'android', 'java']"
Full-time,"Junior, Mid-Level, Senior",Mobile Developer,None,None,None,€50k - 62k (Euros),None,"Berlin,Deutschland","['ios', 'swift', 'blockchain', 'eos']"
Full-time,"Mid-Level, Senior, Lead",QA/Test Developer,"Mobile Game, PC Games, Web Development",11–50 people,VC Funded,$100k - 120k (US Dollars),None,"LongBeach,CA","['automated-tests', 'testing', 'unit-testing', 'node.js', 'discord']"
Full-time,Senior,DevOps,"Mobile, Software Development / Engineering, Telecommunications",51–200 people,Private,None,None,"Reston,VA","['linux', 'docker', 'python', 'virtualization']"
Full-time,"Junior, Mid-Level, Senior",Backend Developer,"Computer Software, Government, Software Development",51–200 people,Private,None,None,"Ahrensfelde,Deutschland","['java', 'java-ee', 'eclipse', 'mysql', 'servlets']"
Full-time,"Junior, Mid-Level",Designer,"Collaboration Tools, Enterprise Software",201–500 people,Private,$60k - 85k (US Dollars),None,"Arlington,VA","['user-interface', 'user-experience', 'design', 'html', 'adobe']"
Full-time,"Mid-Level, Senior, Lead",Mobile Developer,"Mobile Development, Software Development, Web Development",51–200 people,Private,$35k - 60k (US Dollars),None,"Bangkok,Thailand","['mobile', 'ios', 'swift']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Pune,India","['python', 'laravel', 'php']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Indore,India","['javascript', 'php', 'python']"
Full-time,None,Backend Developer,None,None,None,$90k - 120k (US Dollars),Remote,Noofficelocation,"['python', 'scikit-learn', 'pytorch', 'docker', 'kubernetes']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"Computer Software, Enterprise Web Solutions, Internet Marketing",501–1k people,VC Funded,€60k - 65k (Euros),None,"Berlin,Germany","['java', 'javascript', 'scrum', 'spring', 'angularjs']"
Full-time,"Mid-Level, Senior, Lead","Backend Developer, Frontend Developer, Full Stack Developer","Financial Services, Financial Technology",11–50 people,Private,$90k - 140k (US Dollars),None,"Sacramento,CA","['node.js', 'typescript', 'git', 'amazon-web-services', 'javascript']"
Full-time,None,Full Stack Developer,None,None,None,None,None,"Kolkata,India","['php', 'mysql', 'angularjs']"
Full-time,None,Mobile Developer,None,None,None,None,None,"ShinjukuCity,Japan","['perl', 'php', 'android']"
Full-time,Senior,Full Stack Developer,"Enterprise Software, Real Estate",51–200 people,VC Funded,None,None,"SanFrancisco,CA","['meteor', 'semantic-ui', 'mongodb', 'amazon-s3', 'javascript']"
Full-time,None,System Administrator,None,None,None,None,None,"Lucerne,Switzerland","['powershell', 'windows', 'web-services']"
Full-time,"Senior, Lead","Full Stack Developer, Mobile Developer","Agile Software Development, Artificial Intelligence, Medical Devices",10k+ people,Public,$150k - 190k (US Dollars),None,"SanJose,CA","['mobile', 'xamarin', 'cloud']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Chennai,India","['ios', 'user-interface', 'android']"
Full-time,None,Database Administrator,None,None,None,None,None,"Gifu,Japan","['java', 'oracle', 'java-ee']"
Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['android', 'ios', 'mobile']"
Full-time,None,Data Scientist,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"LosAngeles,CA","['r', 'python', 'machine-learning']"
Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"Desktop Applications, Language Services, Mobile Application",11–50 people,None,€38k - 52k (Euros),None,"Graz,Austria","['reactjs', 'html', 'css', 'bootstrap-4', 'javascript']"
Full-time,"Senior, Lead",Full Stack Developer,Carsharing,11–50 people,VC Funded,MXN 360k - 960k,None,"CiudaddeMéxico,Mexico","['node.js', 'mongodb', 'javascript', 'testing', 'amazon-web-services']"
Full-time,"Mid-Level, Senior",Mobile Developer,Software Development / Engineering,201–500 people,Private,None,None,"Skopje,NorthMacedonia","['java', 'android', 'javascript', 'ios', 'reactjs']"
Full-time,Senior,Mobile Developer,"Platforms, Software Development, Software Development / Engineering",1k–5k people,Public,None,None,"Richmond,BC,Canada","['ios', 'swift', 'objective-c']"
Full-time,Junior,Full Stack Developer,"condition monitoring, Industrial Automation, Internet of Things",11–50 people,VC Funded,€35k - 45k (Euros),None,"Leiden,Netherlands","['python', 'angular', 'flask', 'aws', 'terraform']"
Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,"Convenience, Food & Beverage, Retail",10k+ people,Public,None,Remote,"Zürich,Switzerland",[]
Full-time,None,Mobile Developer,None,None,None,None,None,"Nagoya,Japan","['java', 'swift', 'android']"
Full-time,"Junior, Mid-Level",DevOps,"Databases, Enterprise Software, Information Technology",11–50 people,VC Funded,$85k - 135k (US Dollars),On-siteandlimitedremote,"Arlington,VA",[]
Full-time,None,Full Stack Developer,None,None,None,None,None,"Bengaluru,India","['mysql', 'web-services', 'design']"
Full-time,"Senior, Lead","Database Administrator, System Administrator","Banking, Financial Services, Financial Technology",201–500 people,Private,kr576k - 900k (Swedish Kronor),None,"Stockholm,Sweden","['etl', 'tsql', '.net', 'ssis', 'reporting-services', 'sysadmin']"
Full-time,"Mid-Level, Senior",Full Stack Developer,"B2B, Enterprise Software, SaaS",51–200 people,VC Funded,None,None,"Portland,OR","['reactjs', 'node.js', 'javascript']"
Full-time,None,Backend Developer,None,None,None,None,None,"Hyderabad,India","['java', 'cloud', 'spring']"
Full-time,None,Backend Developer,None,None,None,None,None,"Bengaluru,India","['c#', '.net', 'rest']"
